Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,4237.799805,4252.000000,4221.000000,4231.299805,4221.596680,407042
2020-01-02,4240.000000,4295.750000,4235.000000,4246.049805,4236.312988,863844
2020-01-03,4220.000000,4234.799805,4173.000000,4193.450195,4183.833984,1176850
2020-01-06,4164.000000,4204.000000,3983.800049,3996.699951,3987.534912,2866735
2020-01-07,4055.000000,4092.000000,3996.199951,4007.649902,3998.459717,2149042
2020-01-08,3950.000000,4060.350098,3950.000000,4049.949951,4040.662842,1630576
2020-01-09,4105.899902,4148.000000,4080.000000,4124.200195,4114.742676,1419388
2020-01-10,4130.100098,4185.899902,4118.000000,4144.850098,4135.345215,1106624
2020-01-13,4168.000000,4182.250000,4146.000000,4164.500000,4154.950195,645152
2020-01-14,4170.000000,4202.399902,4150.450195,4193.000000,4183.384766,703434
2020-01-15,4189.950195,4220.000000,4170.049805,4207.250000,4197.602051,616976
2020-01-16,4190.000000,4229.950195,4188.000000,4220.250000,4210.572266,578728
2020-01-17,4217.000000,4242.000000,4202.000000,4231.750000,4222.045898,671129
2020-01-20,4229.000000,4252.950195,4125.149902,4152.600098,4143.077637,848639
2020-01-21,4149.950195,4186.100098,4117.049805,4138.600098,4129.109375,897922
2020-01-22,4186.000000,4186.500000,4123.350098,4142.200195,4132.701660,797901
2020-01-23,4123.000000,4163.850098,4085.000000,4125.799805,4116.338867,1154522
2020-01-24,4120.000000,4205.649902,4111.000000,4194.500000,4184.881348,864892
2020-01-27,4174.000000,4208.000000,4154.000000,4164.350098,4154.800293,782155
2020-01-28,4150.149902,4249.000000,4150.149902,4213.000000,4203.338867,1052764
2020-01-29,4244.899902,4444.000000,4215.100098,4419.000000,4408.866699,4581413
2020-01-30,4464.000000,4485.000000,4344.850098,4364.299805,4354.291504,3577774
2020-01-31,4370.000000,4420.100098,4333.799805,4365.899902,4355.888184,1736927
2020-02-03,4250.200195,4376.899902,4250.200195,4359.350098,4349.353516,1094181
2020-02-04,4387.950195,4550.000000,4377.149902,4519.250000,4508.886719,1958323
2020-02-05,4515.000000,4539.950195,4477.649902,4528.200195,4517.816406,1285631
2020-02-06,4528.200195,4677.850098,4525.000000,4666.350098,4655.649414,1846477
2020-02-07,4663.950195,4686.899902,4626.100098,4654.299805,4643.626465,950326
2020-02-10,4660.000000,4734.000000,4640.000000,4721.750000,4710.922363,1160879
2020-02-11,4737.000000,4785.000000,4736.000000,4749.350098,4738.458984,1167429
2020-02-12,4770.000000,4782.200195,4722.000000,4768.700195,4757.764648,882964
2020-02-13,4766.000000,4800.600098,4735.000000,4795.350098,4784.353516,681039
2020-02-14,4800.000000,4815.000000,4768.000000,4781.750000,4770.784668,731118
2020-02-17,4781.750000,4798.000000,4750.049805,4776.649902,4765.696289,716484
2020-02-18,4769.399902,4771.950195,4701.600098,4758.000000,4747.088867,728611
2020-02-19,4785.000000,4887.000000,4780.100098,4878.049805,4866.863770,1172049
2020-02-20,4867.899902,4923.399902,4853.750000,4880.450195,4869.258301,1634643
2020-02-24,4840.000000,4876.000000,4751.200195,4803.950195,4792.934082,1263389
2020-02-25,4849.899902,4849.899902,4784.000000,4825.950195,4814.883301,959309
2020-02-26,4815.000000,4837.750000,4767.250000,4810.000000,4798.969727,851346
2020-02-27,4815.000000,4815.000000,4712.100098,4759.799805,4748.884766,1174870
2020-02-28,4640.000000,4640.000000,4311.750000,4465.850098,4455.609375,4941410
2020-03-02,4600.000000,4617.950195,4305.649902,4360.750000,4350.750000,2238216
2020-03-03,4400.000000,4474.950195,4320.049805,4454.100098,4454.100098,2023503
2020-03-04,4466.000000,4496.799805,4225.000000,4286.399902,4286.399902,2472991
2020-03-05,4310.000000,4367.549805,4273.149902,4330.700195,4330.700195,1833295
2020-03-06,4125.000000,4238.000000,4036.500000,4225.850098,4225.850098,3312238
2020-03-09,4070.000000,4127.500000,3945.149902,4026.800049,4026.800049,3545627
2020-03-11,4014.000000,4118.899902,3985.000000,4030.649902,4030.649902,2793683
2020-03-12,3860.000000,3869.949951,3628.100098,3734.350098,3734.350098,5272619
2020-03-13,3440.000000,4043.500000,3281.050049,3952.550049,3952.550049,4849917
