Date,Open,High,Low,Close,Adj Close,Volume
2020-08-31,665.299988,669.000000,630.200012,634.750000,634.750000,1523639
2020-09-01,642.349976,649.450012,629.750000,635.000000,635.000000,1508638
2020-09-02,630.000000,645.150024,625.599976,642.500000,642.500000,2215210
2020-09-03,644.950012,662.000000,644.250000,656.950012,656.950012,1765544
2020-09-04,655.000000,662.799988,640.250000,645.750000,645.750000,1796732
2020-09-07,653.000000,654.549988,637.400024,646.099976,646.099976,1184624
2020-09-08,639.849976,650.500000,634.750000,637.750000,637.750000,931344
2020-09-09,633.000000,654.000000,632.000000,650.299988,650.299988,938048
2020-09-10,654.900024,658.250000,643.500000,649.150024,649.150024,931052
2020-09-11,645.000000,662.000000,643.650024,656.450012,656.450012,2298702
2020-09-14,662.400024,699.599976,662.400024,685.599976,685.599976,7328223
2020-09-15,692.450012,692.500000,678.000000,679.349976,679.349976,1471023
2020-09-16,682.000000,694.700012,680.950012,686.799988,686.799988,2536636
2020-09-17,687.000000,698.750000,683.049988,693.650024,693.650024,1970679
2020-09-18,697.950012,713.500000,676.299988,679.500000,679.500000,4977464
2020-09-21,678.700012,689.299988,661.000000,670.500000,670.500000,1981392
2020-09-22,670.150024,673.750000,645.200012,657.900024,657.900024,1483647
2020-09-23,661.000000,676.599976,653.500000,666.400024,666.400024,1906520
2020-09-24,660.000000,665.000000,647.000000,650.049988,650.049988,1025236
2020-09-25,652.049988,674.000000,639.400024,670.000000,670.000000,1899648
2020-09-28,670.049988,693.000000,667.250000,689.099976,689.099976,1929822
2020-09-29,696.849976,698.700012,677.700012,683.599976,683.599976,1354183
2020-09-30,688.000000,688.000000,671.250000,680.349976,680.349976,1087796
2020-10-01,688.000000,691.250000,676.200012,678.150024,678.150024,1437719
2020-10-05,680.299988,685.900024,663.599976,668.900024,668.900024,1173860
2020-10-06,672.250000,680.599976,667.200012,672.150024,672.150024,1379493
2020-10-07,670.000000,680.000000,666.400024,677.250000,677.250000,865419
2020-10-08,684.000000,694.299988,680.549988,692.299988,692.299988,3120591
2020-10-09,695.400024,698.500000,679.200012,689.450012,689.450012,1543798
2020-10-12,690.500000,692.549988,675.299988,677.599976,677.599976,1013535
2020-10-13,680.200012,682.000000,663.849976,666.549988,666.549988,831301
2020-10-14,663.000000,674.950012,656.349976,672.299988,672.299988,1817988
2020-10-15,676.500000,677.750000,664.650024,672.400024,672.400024,1253742
2020-10-16,687.950012,704.099976,683.000000,700.500000,700.500000,8434697
2020-10-19,706.049988,708.049988,685.400024,688.650024,688.650024,5541814
2020-10-20,686.500000,700.750000,680.299988,698.250000,698.250000,2012241
2020-10-21,698.000000,710.900024,695.299988,706.400024,706.400024,2258403
2020-10-22,700.000000,718.500000,699.250000,709.599976,709.599976,2919672
2020-10-23,711.000000,721.500000,703.200012,705.599976,705.599976,2260940
2020-10-26,705.599976,708.500000,687.049988,689.549988,689.549988,1972443
2020-10-27,693.049988,704.799988,691.099976,701.500000,701.500000,1833977
2020-10-28,704.400024,717.599976,700.400024,703.000000,703.000000,2602432
2020-10-29,698.950012,707.000000,689.599976,702.549988,702.549988,1068690
2020-10-30,705.000000,711.849976,701.000000,705.549988,705.549988,936323
